start,end,text
0s,2s,"(一會兒煮)"
2s,4s,"(撈起放佐料拌勻入味)"
4s,7s,"琪琪"
7s,10s,"我們來去看看啊"
10s,13s,"您好您是"
13s,14s,"您是張雨蓮的女兒嗎"
14s,15s,"對"
15s,17s,"女兒"
17s,25s,"哇"
25s,26s,"你怎麼來了"
26s,28s,"我來看看你"
28s,29s,"慢速的"
29s,32s,"這什麼事這麼大了"
32s,46s,"沒事吧"
46s,49s,"可能就是這兩天工作太累了吧"
49s,51s,"行了你不用擔心了啊"
51s,54s,"雖然被婉言拒絕"
54s,58s,"但張雨蓮還是決定去城裡照顧女兒"
58s,1m1s,"女兒小時候一身病"
1m1s,1m4s,"她就會煲雞湯給女兒喝"
1m4s,1m6s,"這次"
1m6s,1m9s,"她只想親手給女兒做頓飯"
1m9s,1m15s,"媽"
1m15s,1m20s,"要不我來吧"
1m20s,1m21s,"沒事我來"
1m22s,1m24s,"你拿筷子是吧我給你拿"
1m24s,1m25s,"來慢點啊"
1m25s,1m29s,"媽媽這小雞還沒死呢"
1m29s,1m31s,"雨來了"
1m31s,1m33s,"媽讓我來"
1m33s,1m38s,"媽給你一塊吃啊"
1m38s,1m39s,"你吃"
1m39s,1m40s,"你吃"
1m49s,1m54s,"這頓飯米很硬菜很鹹"
1m54s,1m57s,"難得的團聚"
1m57s,1m59s,"她卻只愛了一天就走了"
1m59s,2m2s,"女兒一再搬遼"
2m2s,2m6s,"但她還是執意離開"
2m6s,2m11s,"女兒覺得有些不對勁"
2m11s,2m14s,"半個月後養好身體回家談心"
2m14s,2m16s,"媽"
2m16s,2m18s,"才發現了母親的秘密"
2m18s,2m19s,"女兒"
2m19s,2m27s,"張雨蓮"
2m27s,2m29s,"63歲"
2m29s,2m32s,"一隻眼睛換白內障"
2m32s,2m33s,"幾近十米"
2m33s,2m34s,"女兒"
2m34s,2m35s,"媽"
2m35s,2m36s,"也嚴重老化"
2m36s,2m38s,"但閒話前"
2m38s,2m40s,"一直瞞著孩子"
2m40s,2m42s,"為了女兒"
2m42s,2m45s,"她第一次一個人走出大山"
2m46s,2m48s,"她可能看不清路"
2m48s,2m49s,"但她清楚地知道"
2m49s,2m52s,"女兒就在路的那一道"
2m52s,2m55s,"從家裡到女兒所在的城市"
2m55s,2m57s,"要翻過兩座山頭"
2m57s,2m59s,"翻過一條小河"
2m59s,3m2s,"走28公里的山路"
3m2s,3m3s,"要轉三次車"
3m3s,3m5s,"八月四個山"
3m5s,3m8s,"坐36個小時的長途騎車"
3m8s,3m11s,"她對這個城市"
3m11s,3m13s,"一無所知"
3m13s,3m15s,"除了知道女兒的名字"
3m16s,3m18s,"一切都是為了"
3m18s,3m21s,"給女兒做頓飯"
3m21s,3m42s,"每一個母親"
3m42s,3m45s,"都像張雨蓮一樣"
3m45s,3m47s,"對自己吝嗇"
3m47s,3m49s,"但對孩子"
3m49s,3m52s,"可以牽盡所有"
3m52s,3m54s,"世界上"
3m54s,3m57s,"最好吃的東西是什麼"
3m57s,3m58s,"為什麼"
3m59s,4m1s,"為了女兒"
4m1s,4m3s,"她第一次一個人走出大山"
4m3s,4m5s,"她可能看不清路"
4m5s,4m7s,"但她清楚地知道"
4m7s,4m8s,"女兒的名字"
4m8s,4m9s,"她對這個城市"
4m9s,4m11s,"一無所知"
4m11s,4m14s,"她對這個城市"
4m14s,4m16s,"可以牽盡所有"
4m16s,4m18s,"世界上最好吃的東西"
4m18s,4m21s,"她對這個城市"
4m21s,4m23s,"可以牽盡所有"
4m23s,4m25s,"世界上最好吃的東西"
